KPIID,NomIndicateur,UniteMesure,noIndicateur,TypeIndicateur,ville,DateDonnee,Valeur,Calcul
2412,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services,$,FPUR362,REM Canada,Montréal,2014,22.46339,VAPP100001 * 1000 / VAPP900010
2412,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services,$,FPUR362,REM Canada,Montréal,2015,9.85202,VAPP100001 * 1000 / VAPP900010
2412,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services,$,FPUR362,REM Canada,Montréal,2016,12.76041,VAPP100001 * 1000 / VAPP900010
2412,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services,$,FPUR362,REM Canada,Montréal,2017,10.18242,VAPP100001 * 1000 / VAPP900010
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2011,5.35604,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2012,4.07623,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2013,4.24312,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2014,4.33788,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2015,4.35537,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2016,4.61433,VAPP900016 / VAPP900017 
2413,Nombre moyen de soumissions par appel d’offres,Quantité,FPUR415,REM Canada,Montréal,2017,4.50794,VAPP900016 / VAPP900017 
2418,Nombre d’employés affectés aux opérations de lutte contre les incendies pour 1 000 habitants,Quantité,FIRE212,REM Canada,Montréal,2013,1.23271,VINC900017 / ( VPOP900004 / 1000 ) 
2418,Nombre d’employés affectés aux opérations de lutte contre les incendies pour 1 000 habitants,Quantité,FIRE212,REM Canada,Montréal,2014,1.22822,VINC900017 / ( VPOP900004 / 1000 ) 
2418,Nombre d’employés affectés aux opérations de lutte contre les incendies pour 1 000 habitants,Quantité,FIRE212,REM Canada,Montréal,2015,1.21239,VINC900017 / ( VPOP900004 / 1000 ) 
2418,Nombre d’employés affectés aux opérations de lutte contre les incendies pour 1 000 habitants,Quantité,FIRE212,REM Canada,Montréal,2016,1.1885,VINC900017 / ( VPOP900004 / 1000 ) 
2418,Nombre d’employés affectés aux opérations de lutte contre les incendies pour 1 000 habitants,Quantité,FIRE212,REM Canada,Montréal,2017,1.1703,VINC900017 / ( VPOP900004 / 1000 ) 
2421,Coûts d’exploitation par kilomètre de véhicule municipal,$,FLET326,REM Canada,Montréal,2014,1.16315, ( VAPP100002 + VAPP100005 + VAPP100003 ) / ( VAPP900007 + VAPP900009 + VAPP900008 ) 
